arm_name,model,source_run,episode_set,model_saw_vocabulary,operating_point_kind,sweep_source,reference_threshold,n_episodes,proposal_rate,n_covered,n_unfaithful,model_panel_size,coverage,risk,risk_upper95_one_sided,n_beyond_comparator,n_unfaithful_beyond_comparator,risk_upper95_beyond_comparator,n_comparator_episodes_missed,is_strict_superset_of_comparator_coverage,aurc,aurc_common,comparator_aurc_common,aurc_common_minus_comparator,aurc_ranking_valid,support_lo,support_hi,risk_at_comparator_max_coverage,comparator_arm,comparator_max_coverage,comparator_risk_at_own_coverage,beats_comparator,frontier_verdict
fair:hybrid_semantic_gate,mistralai/mistral-medium-3-5,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.955,191,3,10,0.955,0.015706806282722474,0.04009236227818821,7.0,0.0,0.34816365513116077,4.0,False,0.015475504189651667,0.015238025341997048,0.0,0.015238025341997048,False,0.0,0.94,0.015959753664671745,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:hybrid_semantic_gate,moonshotai/kimi-k3,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.935,187,0,10,0.935,0.0,0.015892321633036825,4.0,0.0,0.527129195498412,5.0,False,0.0,0.0,0.0,0.0,False,0.0,0.935,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:hybrid_semantic_gate,nvidia/nemotron-3.5-lightning,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.97,194,12,10,0.97,0.061855670103092786,0.09829412041526298,11.0,4.0,0.6501884654280824,5.0,False,0.025489200668803745,0.023650077645954375,0.0,0.023650077645954375,False,0.0,0.94,0.057709638657625933,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:hybrid_semantic_gate,openai/gpt-5.6-luna,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.995,199,0,10,0.995,0.0,0.014941187058895251,11.0,0.0,0.2384041903808526,0.0,True,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:hybrid_semantic_gate,qwen/qwen3.8-max-0902,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.915,183,0,10,0.915,0.0,0.01623685943510122,9.0,0.0,0.28312883556311347,14.0,False,0.0,0.0,0.0,0.0,False,0.0,0.915,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:hybrid_semantic_gate,x-ai/grok-4.6,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,1.0,200,0,10,1.0,0.0,0.014867039231272054,12.0,0.0,0.22092219194555585,0.0,True,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:hybrid_semantic_gate,z-ai/glm-5.3-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.99,198,0,10,0.99,0.0,0.015016078188760933,11.0,0.0,0.2384041903808526,1.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:lexical_resolver_gate,,runs_semantic_fair,naturalistic_200,n/a: not an LLM arm,swept_curve,"semantic_fair_resolver_curves.csv (resolver_gate_curve, Task 2)",0.0,200,0.94,188,0,1,0.94,0.0,0.015808459739054478,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,n/a: this row is the comparator
fair:llm_vocab:advisory,anthropic/claude-sonnet-5,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.825,165,0,10,0.825,0.0,0.01799212682800506,5.0,0.0,0.450719728346941,28.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:advisory,deepseek/deepseek-v4-flash,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.975,195,2,10,0.975,0.010256410256410256,0.0319323272475198,10.0,0.0,0.2588655508930522,3.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:llm_vocab:advisory,google/gemini-3.7-flash,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.94,188,0,10,0.94,0.0,0.015808459739054478,11.0,0.0,0.2384041903808526,11.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,"matches the comparator exactly (same coverage, same risk)"
fair:llm_vocab:advisory,mistralai/mistral-medium-3-5,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.975,195,9,10,0.975,0.046153846153846156,0.07915618730264869,9.0,1.0,0.42913554703143447,2.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:llm_vocab:advisory,moonshotai/kimi-k3,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.925,185,0,10,0.925,0.0,0.016062743246368482,8.0,0.0,0.3123439780663678,11.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:advisory,nvidia/nemotron-3.5-lightning,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.865,173,10,10,0.865,0.057803468208092484,0.09607491329432778,7.0,3.0,0.7746784159675522,22.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
fair:llm_vocab:advisory,openai/gpt-5.6-luna,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.93,186,0,10,0.93,0.0,0.01597707800636821,7.0,0.0,0.34816365513116077,9.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:advisory,qwen/qwen3.8-max-0902,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.755,151,0,10,0.755,0.0,0.019643782952651675,1.0,0.0,0.95,38.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:advisory,x-ai/grok-4.6,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.865,173,0,10,0.865,0.0,0.0171673048336524,5.0,0.0,0.450719728346941,20.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:advisory,z-ai/glm-5.3-flash,runs_semantic_fair,naturalistic_200,yes,fixed_point,none: the arm's own recorded decision,,200,0.91,182,0,10,0.91,0.0,0.016325340743411465,7.0,0.0,0.34816365513116077,13.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:enforced,anthropic/claude-sonnet-5,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.875,175,0,10,0.875,0.0,0.01697278163071123,6.0,0.0,0.39303776899708265,19.0,False,0.0,0.0,0.0,0.0,False,0.0,0.875,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:enforced,deepseek/deepseek-v4-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.98,196,0,10,0.98,0.0,0.015168135514885519,9.0,0.0,0.28312883556311347,1.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:llm_vocab:enforced,google/gemini-3.7-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,1.0,200,0,10,1.0,0.0,0.014867039231272054,12.0,0.0,0.22092219194555585,0.0,True,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:llm_vocab:enforced,mistralai/mistral-medium-3-5,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.98,196,11,10,0.98,0.056122448979591844,0.09118633822452712,9.0,0.0,0.28312883556311347,1.0,False,0.056208847222585956,0.05396447120490879,0.0,0.05396447120490879,False,0.0,0.94,0.05468669165811063,fair:lexical_resolver_gate,0.94,,,"higher coverage than the comparator reaches, but at higher risk"
fair:llm_vocab:enforced,moonshotai/kimi-k3,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.97,194,0,10,0.97,0.0,0.015323303838732608,8.0,0.0,0.3123439780663678,2.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:llm_vocab:enforced,nvidia/nemotron-3.5-lightning,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.88,176,8,10,0.88,0.045454545454545414,0.08051863121870619,5.0,1.0,0.6574083180011386,17.0,False,0.012442002191202424,0.012442002191202424,0.0,0.012442002191202424,False,0.0,0.88,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (worse risk at the same coverage)
fair:llm_vocab:enforced,openai/gpt-5.6-luna,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.88,176,0,10,0.88,0.0,0.016877163787066447,5.0,0.0,0.450719728346941,17.0,False,0.0,0.0,0.0,0.0,False,0.0,0.88,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
fair:llm_vocab:enforced,qwen/qwen3.8-max-0902,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.955,191,0,10,0.955,0.0,0.015562101543939997,9.0,0.0,0.28312883556311347,6.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:llm_vocab:enforced,x-ai/grok-4.6,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.995,199,0,10,0.995,0.0,0.014941187058895251,12.0,0.0,0.22092219194555585,1.0,False,0.0,0.0,0.0,0.0,False,0.0,0.94,0.0,fair:lexical_resolver_gate,0.94,,,exceeds the comparator's frontier (higher coverage at no more risk)
fair:llm_vocab:enforced,z-ai/glm-5.3-flash,runs_semantic_fair,naturalistic_200,yes,swept_curve,recorded_proposal_gate_curve over the frozen 101-point threshold_grid,0.0,200,0.91,182,0,10,0.91,0.0,0.016325340743411465,8.0,0.0,0.3123439780663678,14.0,False,0.0,0.0,0.0,0.0,False,0.0,0.91,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
natural_confidence_gate_canonical,,runs_natural,naturalistic_200,n/a: not an LLM arm,fixed_point,none: the arm's own recorded decision,,200,0.66,132,0,1,0.66,0.0,0.022439348489406666,0.0,0.0,,56.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
natural_confidence_gate_lexical,,runs_natural,naturalistic_200,n/a: not an LLM arm,fixed_point,none: the arm's own recorded decision,,200,0.94,188,0,1,0.94,0.0,0.015808459739054478,0.0,0.0,,0.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,"matches the comparator exactly (same coverage, same risk)"
natural_random_gate_canonical,,runs_natural,naturalistic_200,n/a: not an LLM arm,fixed_point,none: the arm's own recorded decision,,200,0.66,132,0,1,0.66,0.0,0.022439348489406666,0.0,0.0,,56.0,False,,,,,,,,,fair:lexical_resolver_gate,0.94,0.0,False,dominated by the comparator (it reaches higher coverage at no more risk)
