stated_count,sentence,document
5,"### Deterministic BCI-to-Agent Control Survived Stronger Challenges

**Given perfect knowledge of which selections were decoded correctly, unfaithful execution fell to zero in every model.** Admitting only intact decodes yielded coverage of 0.659 and a residual unfaithful-execution rate of 0.000 in ",manuscript.md
3,"Three exceptions exist: across 13,956 episode runs whose decode carried no error, 3 produced an unfaithful execution (0.0002).",manuscript.md
0,"The agent, over 3,000 episode runs on the same commands, executed an action in 78.1% and produced 13 unfaithful executions (Figure 4).",manuscript.md
10,"Ten of 12 caution wordings produced no detectable change in unfaithful execution, from 0.816 to 0.833 against a no-caution baseline of 0.837, none significant after correction (smallest adjusted *P* = .13) (eFigure 3).",manuscript.md
2,"The two that did differ in a way that matters: wording 1 cut it to 0.478 (-0.359; 95% CI, -0.425 to -0.287; adjusted *P* < .001) but raised parse failure to 0.428 against at most 0.042 elsewhere, whereas wording 10 cut it to 0.784 (-0.053; 95% CI, -0.083 to -0.028) at a parse-failure rate of 0.042.",manuscript.md
4,"Expected calibration error of the reconstructed confidence was 0.069 to 0.129 across the four studies, the Brier score 0.084 to 0.204, and the calibration error under cross-study transport 0.048 to 0.233 (eFigure 4).",manuscript.md
2,"Neither of the two direct arms, advisory or enforced, reduced unfaithful execution below either resolver-plus-gate architecture at matched coverage in any of the 10 models: of the 20 (arm, model) cells those two arms contribute, the 12 with an evaluable matched comparison improved on none, and the o",manuscript.md
188,"The bound is structural: the lexical resolver admitted 188 of 200 episodes at its 0.940 ceiling with zero unfaithful executions (one-sided 95% upper bound 0.0158), so no arm could register a lower risk; the exact resolver, itself dominated, reached only 0.660 coverage at the same zero risk.",manuscript.md
11,"Eleven of the 12 evaluable cells were dominated: nine covered fewer episodes than the resolver at the same zero risk (*qwen3.8-max-0902* advisory 0.755 coverage, *gpt-5.6-luna* enforced 0.880, *glm-5.3-flash* enforced 0.910), and two carried risk where the resolver carries none (*nemotron-3.5-lightn",manuscript.md
11,"The twelfth, *gemini-3.7-flash* advisory, matched the resolver's coverage and risk on a different set of episodes, missing 11 of its 188.",manuscript.md
5,"**The hybrid architecture, in which the model proposes a semantic correction by text while a deterministic gate alone retains admission authority, extended coverage past the resolver's ceiling at zero observed risk in half the panel.** Against the lexical resolver (0.940 coverage, 0.000 risk), hybri",manuscript.md
1,"Higher coverage is a count, not a superset: *glm-5.3-flash* reaches 0.990 while missing 1 of the 188 episodes the resolver admits.",manuscript.md
5,"Against the agent's own vocabulary-disclosed enforced arm the split was 3 higher at equal zero risk, 2 matched or within 0.005 of it, 3 lower, and 2 trading coverage against risk with neither dominating; Figure 5 plots every cell.",manuscript.md
3,"Across all three vocabulary-disclosed arms, 16 of the 30 cells reached episodes the resolver structurally cannot.",manuscript.md
10,"Ten had no unfaithful execution anywhere, including the episodes gained (one-sided 95% upper bound 0.22 to 0.31 on the 8 to 12 added), a consequence of the frontier criterion that selects them (Figure 5), not an independent finding.",manuscript.md
4,"The other 6 cost risk, 3 within the gained episodes: hybrid in *deepseek-v4-flash* (4 of 11), hybrid in *nemotron-3.5-lightning* (4 of 11), and advisory in *mistral-medium-3-5* (1 of 9).",manuscript.md
3,"Completion within three attempts saturated at 0.945 to 1.000
across the seventeen policies, because two thirds of donor episodes carry no decoding error and
a retry usually succeeds.",manuscript.md
2,"**Enforcing the confidence at the interface produced no detectable reduction in task completion
in any model, and reduced the BCI attempts required per completed task in two of five.** Against the advisory arm on the same episodes,
enforcement changed completion by less than 0.025 in every model, al",manuscript.md
9,"Here too the resolver holds the nine canonical
command strings and the models do not, and the fair-information comparison above did not change that.",manuscript.md
5,"---

## Discussion

Across five current-generation models run on 1,065 primary-eligible episodes from a real P300 speller, no arm reached lower unfaithful execution than a deterministic gate applied to the identical value at the identical willingness to act, and two were significantly worse; the res",manuscript.md
3,"In *gemini-3.7-flash*, 54.3 of the 70.0 percentage points of declined episodes ended with no valid tool call rather than an abstention, and in *glm-5.3-flash* 30.3 of 66.4 did.",manuscript.md
10,"Ten of twelve wordings of an instruction to act carefully produced no detectable change against a no-caution baseline, and the larger of the two that did came from the wording the interface could not support, which is an argument for affording a safety behaviour rather than requesting it.",manuscript.md
9,"That comparison withheld the canonical vocabulary from the agent; a post-hoc version supplying the same nine commands could not undercut the resolver's zero risk, while 16 of 30 (arm, model) combinations extended coverage into episodes the resolver cannot reach, cleanly in 10 and at some risk cost i",manuscript.md
2,"Where the threshold belongs is harder, because a refusal is not free: in the repeated-attempt replay it costs the user another attempt, and enforcement improved tasks completed per attempt in two of five models while making it worse in one.",manuscript.md
1,"Fifth, all episodes came from one public corpus and one BCI paradigm, restricted to its four amyotrophic lateral sclerosis studies.",manuscript.md
3,"The unit of analysis was the episode, defined as a fixed-length sequence of three consecutive character selections emitted by the BCI decoder, together with the action an agent took in response.",manuscript.md
3,"The first factor was the uncertainty source made available to the action layer, at three levels: none, the model's own stated confidence (self-confidence), and a reconstructed calibrated decoder confidence.",manuscript.md
2,"The second factor was the control mechanism, at two levels: advisory, in which the uncertainty value was rendered into the system prompt and the model's own decision was the reported outcome, and enforced, in which the value was withheld from the prompt and admission was decided by the harness.",manuscript.md
4,"Four reference arms were added: a deterministic non-LLM threshold gate on the same calibrated confidence, a random gate operating at matched coverage, an error-indicator arm supplied with the true correctness of each selection but not with the source string, so it bounds error DETECTION and not erro",manuscript.md
12,"A caution battery of 12 wordings of an instruction to act carefully was included as an exposure factor, and 3 renderings of the same prompt content were included as a nuisance factor.",manuscript.md
34,"The full design comprised 34 cells, of which 32 involved an LLM.",manuscript.md
5,"That enumeration describes this factorial alone: the fair-information comparison reported below is a separate, later, non-factorial set of five arms over the same 200 naturalistic episodes, specified under Semantic Fair-Information Comparison.",manuscript.md
2,"$Z$ estimates transmission correctness rather than action fidelity directly; under
this study's fixed nine-action codebook the two are related but not identical, because a
mis-decoded string occasionally hashes to the same action as the correct one (empirically, 88.5%
of error-bearing episodes chang",manuscript.md
4,"Four models used all 1,065 primary-eligible episodes in the full-scale analyses; Claude Sonnet 5 used its prospectively frozen 500-episode subset.",manuscript.md
1,"A
**cell** is one experimental condition, of which the factorial design has 34.",manuscript.md
1,"A **scaffold** is one of three
surface renderings of identical prompt content, and the three scaffolds of a factorial
condition are separate cells.",manuscript.md
2,"Arms are formed by selecting
cells on the `factorial:` name prefix rather than on the two factors alone, because the 12
caution cells and the single-shot cell share an uncertainty source and a control mechanism
with the no-uncertainty advisory cells and would otherwise be pooled into them.",manuscript.md
1,"A count taken across the panel is therefore
reported as a number of model-by-arm or model-by-cell combinations, and a result that names
one model refers to that model's runs of the arm or cell in question.",manuscript.md
4,"Analyses were restricted to the four studies in that corpus recorded in participants with amyotrophic lateral sclerosis (Studies B, F, L, and N), a population in which P300 speller performance has been characterised repeatedly;[13,14] the remaining studies were recorded in able-bodied participants a",manuscript.md
47,"The amyotrophic lateral sclerosis stratum contained 3,395 online selections from 47 participants across 9 sessions, with an overall selection accuracy of 0.816 and per-participant accuracy ranging from 0.219 to 1.000.",manuscript.md
1,"This produced a pool of 1,084 usable episodes from 47 participants, of which 364 (33.6%) contained at least one decoding error.",manuscript.md
47,"It contains 47 participants and 363 error-bearing episodes at the pool's own prevalence of 0.341, with 286, 351, and 428 episodes entailing tier 1, tier 2, and tier 3 actions.",manuscript.md
100,"A second, exploratory set of 100 episodes was drawn earlier with a fixed seed, balanced on consequence tier and enriched to 49 error-bearing episodes from 42 participants; it carries the 34-cell factorial and is identified as exploratory wherever its results appear.",manuscript.md
1,Transport was assessed by fitting the calibrator on one study and evaluating it on each other study.,manuscript.md
4,"At each turn the model received the conversation so far and a fixed set of four typed tools: `read_buffer`, which returned the decoded character string; `lookup_action`, which resolved whatever string it was given to that string's entailed action without terminating the episode; `execute`, which too",manuscript.md
5,"### Models and Inference Parameters

Five current-generation models were queried through the OpenRouter API between 28 and 31 August 2026 for the six pre-specified datasets: `openai/gpt-5.6-luna`, `anthropic/claude-sonnet-5`, `google/gemini-3.7-flash`, `z-ai/glm-5.3-flash`, and `deepseek/deepseek-v4",manuscript.md
10,The post-hoc fair-information comparison described below widened this panel to ten models and pinned five further endpoints by the same rule; everything in this subsection applies to it unchanged except the panel itself.,manuscript.md
4,"Every language-model cell was evaluated in every model represented in that dataset, the 32 LLM cells of the exploratory set and the 4 model-bearing cells of the primary set; the model-independent reference cells were executed once.",manuscript.md
2,"Each episode was run once per cell per model in the main datasets, because the design is fully paired and repetition estimates model stochasticity rather than adding neural observations; a separate repeated-generation check on two arms is reported in the supplement.",manuscript.md
1,"In the analysed data 8,098 retry attempts were made across 141,879 requests, and 3,656 of 50,230 episode runs (7.3%) recorded at least one retry.",manuscript.md
6,"Its cell declaration and run manifest are recorded in `semantic_fair_comparison_manifest.json`, released with the analysis code; this experiment is not part of eMethods S1, which enumerates only the six pre-specified datasets.",manuscript.md
68,"It reused the 200 naturalistic episodes verbatim, at their realized decoding-error prevalence of 0.34 (68 of 200 error-bearing), rather than drawing a fresh sample, so it is a new set of arms over a frozen episode set and not a new benchmark.",manuscript.md
400,"The arms were executed on 9 and 10 September 2026, producing 6,400 episode runs and 14,336 tool-calling requests at a measured cost of US $19.46.",manuscript.md
5,"The panel was widened from five models to ten, by adding one further current-generation model per additional vendor so that the comparison would not rest on the primary benchmark's five: `x-ai/grok-4.6`, `qwen/qwen3.8-max-0902`, `moonshotai/kimi-k3`, `nvidia/nemotron-3.5-lightning`, and `mistralai/m",manuscript.md
9,"`fair:llm_vocab:advisory` used the four-tool agent loop unchanged, with all nine commands disclosed verbatim in the system prompt and the confidence value rendered into it; an advisory arm's own decision is its outcome, so it enters as a fixed operating point.",manuscript.md
2,"The architecture separates the two functions equation (5) shows an
agent can legitimately contribute: $h_{\theta}$ supplies the information $H$ that expands what is
knowable about $F$, while $s \geq \tau$ retains the admission decision outside the model.",manuscript.md
2,Two comparators carried no model and issued no API request by construction.,manuscript.md
9,"The lexical resolver is the primary comparator used throughout this paper, now swept across the threshold grid rather than run at a single operating point, and it is the system that motivated this experiment: it is handed the nine command strings literally, so here the models are too.",manuscript.md
4,"Each turn submitted the conversation so far with the four
tool schemas and `tool_choice` set to `auto`, so the model was never forced to emit a tool
call.",manuscript.md
1,"Where a model emitted `execute` and `abstain` in one parallel batch, both were
counted and the first was taken as the decision; any later terminal call in the same batch was
refused by the environment rather than honoured.",manuscript.md
1,"A retried request replaced an attempt
that never yielded a response, so it did not constitute a fresh generation and no episode
contributed more than one completed trajectory.",manuscript.md
1,"### Self-Confidence Elicitation

Under advisory control the self-confidence arm added one sentence to the system prompt,
instructing the model to state its confidence that it had understood the message on a 0 to 1
scale.",manuscript.md
1,"One current-generation model was taken per vendor, chosen to span
that list's price range: the cheapest of the capable tier, the most expensive model in the
panel as a ceiling arm, one mid-priced model, and two open-weight models.",manuscript.md
2,"Formally, for a policy admitting whenever the score it thresholds satisfies $s \geq \tau$, where
$s$ need not be a calibrated probability for arms that threshold something other than the decoder
confidence, coverage and selective risk are

$$
C(\tau) = \Pr(s \geq \tau), \qquad R(\tau) = \Pr(F=0 \mid",manuscript.md
1,"Every between-arm contrast uses one joint participant draw per replicate, applied to both arms, because the arms ran the same episodes and resampling them independently would discard that pairing and widen the interval to describe a study that was not run.",manuscript.md
47,"Clustering on participant was applied throughout because episodes are contributed by 47 participants in the primary set, and 42 in the exploratory set, and are not independent observations.",manuscript.md
2,"P values were derived from the bootstrap intervals so that the interval and the test cannot disagree, and were adjusted with the Benjamini-Hochberg false discovery rate procedure within two pre-specified families: the per-model uncertainty-source contrasts, and the 12-wording caution battery.",manuscript.md
2,"The calibration diagnostics do: eTables S4a and S4c, eFigure 1 and eFigure 4 are computed out of fold, and because GroupKFold's fold assignment changed between those two versions of scikit-learn their expected calibration errors move by up to 0.005, the largest being the product rule's episode-level",manuscript.md
9,"To quantify that cost we replayed the 200 naturalistic
episodes as repeated-attempt tasks in a persistent assistive-action sandbox, in which each of the
nine actions produces an inspectable state change rather than a label.",manuscript.md
1,"Confidence intervals came from a participant-cluster
bootstrap with 2,000 resamples, seed 20260901, taking one joint participant draw per replicate and
applying it to every policy.",manuscript.md
9,"Across 20,000 such draws no replicate lost any of the nine commands,
each being contributed by 16 to 20 of the 46 participants, so the estimand does not vary between
replicates.",manuscript.md
200,"The number of replayed trajectories does not increase the neural sample size, which
remains 200 episodes from 46 participants.",manuscript.md
3,"And the replay is population-level rather
than participant-specific, which the data force: a command is contributed by 16 to 20
participants but only 6 of 155 participant-by-command pairs hold the three episodes a
same-participant retry would need, so a retry is drawn from the population of donors f",manuscript.md
2,"Datasets, cell enumeration, and the run manifest

Two experimental datasets carry the study, and four follow-up datasets extend it.",supplement.md
1,"It ran 6 cells (4 of them paid, 2 non-LLM and free by construction) on all 1,065 primary-eligible episodes from 47 participants, of which 363 carry at least one decoding error and 702 do not, a natural error prevalence of 0.3408.",supplement.md
84,"The pool is `nag.design.build_episode_pool()` (1,084 episodes) minus the 19 episodes whose calibration fit came from an earlier session, an exclusion fixed before the runs.",supplement.md
34,"It ran the full design of 34 cells on 100 episodes from 42 participants, stratified so that 49 of them carry a decoding error.",supplement.md
12,"Twelve were the caution-wording battery (`caution:w0` through `caution:w11`), each a single wording added to the no-uncertainty advisory base.",supplement.md
2,"Two were reference LLM arms (`oracle`, the error-indicator arm of the main text, supplied with the true correctness of each selection; `singleshot`, without a multi-turn loop and without tools).",supplement.md
2,"Two were non-LLM arms (`nonllm_gate`, a deterministic threshold on the calibrated confidence; `random_gate`, drawing coverage independently of confidence).",supplement.md
3,All three artefacts were frozen before the runs and are byte-identical across every cell and every model of both datasets.,supplement.md
1,"Both are earlier, incorrect implementations of the single-shot arm (the first ran the ordinary multi-turn loop, the second capped turns at one and so never reached a terminal call, covering 0 of 200 episodes).",supplement.md
3,"Three repetitions of two advisory arms, to bound between-run stochastic variability.",supplement.md
6,"|

Episode runs total 50,230 across the six datasets, carrying 141,879 tool-calling requests at a measured cost of US $86.62.",supplement.md
1,"**Retries, stated precisely.** 8,098 retry attempts were made against 141,879 requests, 5.71%, and 3,656 of the 50,230 episode runs recorded at least one retry somewhere in the episode.",supplement.md
1,"A retried request replaced an attempt that never yielded a response, so it is not a fresh generation and no episode contributed more than one completed trajectory.",supplement.md
1,"Use the tools provided, including the one that resolves a code to an action.""

**The system prompt template.** `nag.prompts.build_system(cell, confidence)` assembles the prompt from up to three parts, joined with a single space, in this fixed order:

1.",supplement.md
1,"The scaffold selected by `cell.scaffold` (one of the three above), always present.",supplement.md
12,"2 of the twelve wordings reach significance after Benjamini-Hochberg correction within this family, not zero and not one: wording 1 (risk difference -0.359, 95% CI -0.425 to -0.287, adjusted P < 0.0001, parse failure 0.428); wording 10 (risk difference -0.053, 95% CI -0.083 to -0.028, adjusted P = 0",supplement.md
2,"The two are not equivalent findings: wording 1 buys its reduction at a parse-failure rate of 0.428, while the other leaves the agent emitting well-formed tool calls.",supplement.md
4,"Four tools were exposed, with schemas frozen and identical across all arms and models.",supplement.md
9,"`execute` took a single closed enumeration of the nine actions and terminated the episode; it exposes no free-form argument field, so an agent could not be scored unfaithful for populating an argument idiosyncratically.",supplement.md
1,"A fifth schema exists and was offered in exactly one cell, `caution:w1+confirmation` (eMethods S9).",supplement.md
2,"The 36 grid-cell channels were verified to be binary stimulus-flash indicators, taking two distinct values, rather than score accumulators.",supplement.md
3,"Because the three selections in an episode share a participant, session, electrode montage, and fatigue state, that product is validated directly against four alternative combination rules that make different independence assumptions, rather than assumed correct.",supplement.md
1,"|
| isotonic_episode | 0.0493047 | 0.168447 | 0.761327 | 0.811701 | 1084 |  |

**eFigure 1** is the reliability diagram behind this table: one panel per scoring rule, predicted episode confidence against observed episode correctness, in the row order above.",supplement.md
3,"Three models (`openai/gpt-5.6-luna`, `anthropic/claude-sonnet-5`, `google/gemini-3.7-flash`) were subject to an account-level cap of 20 requests per minute per model, measured with a sustained 30-request probe; a 12-request burst sits under the cap and returns a false negative.",supplement.md
1,"Every between-arm contrast uses one JOINT participant draw per replicate, applied to both arms (`nag.paired_bootstrap.paired_risk_difference`): resampling the two arms independently discards the paired design and widens the interval to describe a study nobody ran.",supplement.md
65,"Clustering on participant was applied throughout because the principal run's 1,065 episodes were contributed by 47 participants and the pilot's 100 by 42.",supplement.md
2,"P values were derived from the bootstrap intervals so that interval and test cannot disagree, and were adjusted by the Benjamini-Hochberg procedure within two families fixed before model execution: the per-model uncertainty-source contrasts, and the 12-wording caution battery.",supplement.md
1,"The model never saw a threshold and was never told its arm was enforced, so its behaviour could not depend on the threshold; running one episode per threshold would have multiplied cost for no additional information.",supplement.md
3,"**Why it exists.** The product score is empirically miscalibrated at episode level (eTable S4c): a directly fitted episode-level isotonic model reaches a lower expected calibration error than the product of three per-selection probabilities, which is consistent with dependence between the three sele",supplement.md
1,"*Verified at build time: the confidence actually shown to the model in every one of the 4,760 Task 19 rows equals the `isotonic_episode` column exactly (maximum absolute difference 0).*

**eFigure 2** shows this comparison graphically, in three panels: coverage, unfaithful execution as a fraction of",supplement.md
2,"Its panels are drawn per model on the episodes the two runs share, and the confidence intervals in its third panel are read from the same estimates as eTable S7b rather than recomputed.",supplement.md
2,"*Verified at build time: the two runs cover an identical episode set for every model, so the shared-episode restriction removes nothing and every contrast here is fully paired (500 for `anthropic/claude-sonnet-5`, 1,065 for `deepseek/deepseek-v4-flash`, 1,065 for `google/gemini-3.7-flash`, 1,065 for",supplement.md
0,"| confidence score | model | n | coverage | risk among acted | gate risk at matched coverage | matched gap | gap 95% CI low | gap 95% CI high | beats gate |
|---|---|---|---|---|---|---|---|---|---|
| product | anthropic/claude-sonnet-5 | 500 | 0.54 | 0.2037 | 0.1167 | 0.087 | 0.0418 | 0.1487 | Fals",supplement.md
2,"What does move is coverage, and it moves in the direction the recalibration predicts: the better-calibrated value is systematically higher on this pool, so every model acts more often and the two models whose parse-failure rate was above the label threshold emit fewer unparseable responses.",supplement.md
2,"Task 20: naturalistic semantic-action benchmark

**Status.** reviewer-motivated follow-up robustness experiment; NOT part of the original pre-specified experiment (see nag.naturalistic module docstring and the Task 20 plan)

**Donor pool and draw.** Two hundred donor episodes were drawn without repl",supplement.md
2,"donor_ids shuffled (mixing error/clean strata) BEFORE being sliced by command, so command assignment is independent of donor error status by construction*

**Pairwise edit distance between every pair of commands:**

| a | b | distance |
|---|---|---|
| save note | play music | 9 |
| save note | turn",supplement.md
9,"**Confidence used:** the RECALIBRATED episode-level out-of-fold isotonic score from Task 19 (episode_confidence_per_episode.csv, column 'isotonic_episode') is used by BOTH the model's prompt (advisory arms) and the deterministic gate; the product score is kept only as confidence_product, for traceab",supplement.md
200,"200 episodes frozen; arms to run: factorial:none:advisory:s0, factorial:decoder_confidence:advisory:s0, factorial:decoder_confidence:enforced:s0.",supplement.md
3,"3,000 language-model episode runs across 3 cells and 5 models, plus 600 deterministic comparator runs, 3,600 rows in total.*

Absolute rates here are benchmark absolute risks at the source pool's observed decoder-error prevalence.",supplement.md
600,"The directory holds 3,600 rows, but 600 of those are the model-free comparators below and folding them in would attribute their behaviour to the agent.*

### eTable S8b.",supplement.md
2,"The other two resolve through `canonical_action`, which is exact-match only, and are therefore the naturalistic analogues of the main study's non-LLM arms.",supplement.md
1,"The comparison that matters is therefore the same one the hash benchmark produced: a deterministic mechanism sitting at the interface matched or beat semantic reasoning by a language model, on the benchmark built specifically to give language the advantage.",supplement.md
9,"Its tool surface exposes the nine ACTION identifiers (`summon_staff`, `save_note`, and so on) and `lookup_action` resolves an exact command only, so a model that never guesses a command string verbatim never sees the vocabulary the resolver searches.",supplement.md
2,"The identifiers are close in meaning to the commands, which is how the models reach conditional fidelity above 0.99 on corrupted strings at all, but the two sides do not hold the same information and the resolver's coverage advantage should be read with that in mind.",supplement.md
13,"**The errors, all of them.** 13 of the 2,344 actions admitted by a language-model arm were unfaithful, over 6 distinct episodes, and 0 of them were unsafe under the severity-aware definition.",supplement.md
1,"Because the count is small enough to enumerate, it is enumerated rather than summarised:

| model | cell | assigned_command | corrupted_string | true_action | executed_name | lexical resolver | n_substitutions | confidence |
|---|---|---|---|---|---|---|---|---|
| deepseek/deepseek-v4-flash | factor",supplement.md
2,The two commands share their first word and the models resolved to the wrong one of the two.,supplement.md
3,"1,500 episode runs, three conditions x five models x the same frozen 100-episode set the pilot used.*

Caution wording 1, ""Always confirm your understanding before you act."", is one of 2 of the twelve wordings whose effect on unfaithful execution survived correction across the wording family, and by",supplement.md
3,"The three conditions, pooled across models

| condition | cell | n | coverage | parse failure | conditional fidelity | faithful of all episodes | mean confirmation calls | executed | unfaithful executions |
|---|---|---|---|---|---|---|---|---|---|
| no caution wording (baseline) | `factorial:none:a",supplement.md
2,Coverage barely moves between the two caution conditions (0.582 to 0.590) and remains far below the baseline's 0.996.,supplement.md
1,The conditional-fidelity figure of 0.966 in that cell is the oracle's ceiling and not a model achievement: an agent told by an oracle whether the decoded action is the right one can act on exactly the episodes where it is.,supplement.md
3,"The three conditions by model

| condition | model | n | coverage | parse failure | conditional fidelity | faithful of all episodes | executed | unfaithful executions |
|---|---|---|---|---|---|---|---|---|
| no caution wording (baseline) | anthropic/claude-sonnet-5 | 100 | 0.99 | 0.01 | 0.5859 | 0.",supplement.md
4,"Parse failure fell in 4 of 5 models when the tool appeared, and fell furthest in the model whose rate was highest without it (`anthropic/claude-sonnet-5`, 0.95 to 0.01).",supplement.md
100,"**A replication, incidentally.** `caution:w1` was re-run here on the same frozen 100 episodes it ran on in the pilot, as the control condition for the confirmation arm.",supplement.md
1,"The most extreme single behaviour in the study therefore reproduces on an independent set of model calls, which is what makes it a property of the wording rather than of one run.",supplement.md
0,"3,000 episode runs: 2 advisory arms x 5 models x 3 repetitions of the same frozen 100-episode set.*

Every cell of the main study was run once per episode, with no repetition and no provider-side seed, so no claim of determinism is made anywhere.",supplement.md
2,"It covers the two advisory arms only, which is a scope limit and not a claim that enforced arms are deterministic: model stochasticity still affects an enforced arm's proposed action, its parse behaviour and its voluntary abstention, and only the threshold it never saw is fixed.",supplement.md
2,"| model | cell | episodes | coverage spread | conditional fidelity spread | parse failure spread | identical coverage | identical action |
|---|---|---|---|---|---|---|---|
| anthropic/claude-sonnet-5 | factorial:decoder_confidence:advisory:s0 | 100 | 0.05 | 0.0332 | 0.07 | 0.81 | 0.58 |
| anthropic",supplement.md
560,"But in the arms where a model actually exercises discretion, agreement on the individual episode is much weaker, falling to 0.560 of episodes ending in the same executed action across all 3 runs.",supplement.md
1,"An aggregate rate that reproduces to within a few points is therefore not evidence that the same episode gets the same treatment twice, and for a system acting on one person's message it is the per-episode behaviour that is experienced.",supplement.md
6,"eMethods S1 and eTable 1a enumerate the six pre-specified datasets and nothing else; the five arms below were declared and executed afterwards, and are reported here rather than folded into that inventory.",supplement.md
68,"It reused the 200 naturalistic episodes of eMethods S8 verbatim, at their realized decoding-error prevalence of 0.34 (68 of 200 error-bearing), referencing `output/tables/naturalistic_manifest.json` (digest `da1526132bddaef0...`) rather than copying it.",supplement.md
1,"*Reuse note:* the SAME 200 episodes as Task 20, reused verbatim (identical corrupted_string, true_action, and recalibrated confidence per episode) and referenced rather than copied, so there is exactly one source of truth for them.",supplement.md
1,"| run directory | episode runs | arms | episodes | models | API requests | retry attempts | measured cost (US $) | episode runs recording an error |
|---|---|---|---|---|---|---|---|---|
| `runs_semantic_fair/` | 6400 | 5 | 200 | 10 | 14336 | 720 | 19.46 | 0 |

*307 of the 6400 episode runs needed a",supplement.md
3,"| model | pinned endpoint tag | provider served | quantization | added for this experiment |
|---|---|---|---|---|
| `openai/gpt-5.6-luna` | `openai` | OpenAI | unknown | no |
| `anthropic/claude-sonnet-5` | `anthropic` | Anthropic | unknown | no |
| `google/gemini-3.7-flash` | `google-ai-studio` | ",supplement.md
2,**The two deterministic comparators.** Neither carries a model and neither issued an API request; both were computed once rather than once per model.,supplement.md
1,"| comparator | harness | entered as | role |
|---|---|---|---|
| `fair:lexical_resolver_gate` | nag.naturalistic.lexical_resolve(max_distance=2) + a deterministic confidence gate | PROPOSAL + swept curve via nag.naturalistic.resolver_gate_curve | the PRIMARY COMPARATOR, now swept: the system the lan",supplement.md
1,"**The confidence substitution.** One quantity differs from the primary benchmark, deliberately: the RECALIBRATED episode-level out-of-fold isotonic score from Task 19 (episode_confidence_per_episode.csv, column 'isotonic_episode') is used by BOTH the model's prompt (advisory arms) and the determinis",supplement.md
4,"Absolute rates are benchmark risks at the source pool's observed decoder-error prevalence of 0.34, not deployment estimates.*

Throughout these four tables the comparator is `fair:lexical_resolver_gate`, the swept lexical resolver, which admits 188 of 200 episodes at its coverage ceiling of 0.940 wi",supplement.md
1,"Ten-model arm-level results

Every one of the 30 (arm, model) cells the three vocabulary-disclosed arms contribute.",supplement.md
2,"Matched-comparator and frontier classification

Two criteria classify these cells, and they are not the same criterion.",supplement.md
16,"The **coverage criterion** asks only whether a cell reaches coverage beyond the comparator's own 0.940 ceiling, using episodes the resolver structurally cannot reach; 16 of the 30 cells meet it.",supplement.md
10,"The stricter **frontier criterion** additionally requires that the cell's risk lie within tolerance of the comparator's own zero risk at that ceiling; 10 of those 16 meet it as well, and are labelled ""exceeds the comparator's frontier"" below.",supplement.md
10,"Because the frontier criterion selects on zero risk, the zero observed risk of those 10 cells is a consequence of the selection and not an independent finding.",supplement.md
