value,context,found_in,status
5,manuscript.md: ficantly worse than the gate. *claude-sonnet-5* supplied with reconstructed decoder confide,IGNORED: VERSION_SLUG,IGNORED
54.0%,"manuscript.md: under advisory control executed an action on 54.0% of episodes, and 20.4% of the actions it too",followup_task14_repeats.csv:executed (tol=exact),MATCHED
20.4%,"manuscript.md: executed an action on 54.0% of episodes, and 20.4% of the actions it took were unfaithful; the","secondary_scaffold_spread.csv:min (tol=display-rounding, as-fraction-of-percent)",MATCHED
11.7%,"manuscript.md: rministic gate at the same coverage produced 11.7%, a matched-coverage difference of 0.087 (95%","repeated_attempt_replay.csv:p_unresolved_hi (tol=display-rounding, as-fraction-of-percent)",MATCHED
0.087,"manuscript.md: uced 11.7%, a matched-coverage difference of 0.087 (95% CI, 0.042 to 0.149). *glm-5.3-flash* ac",followup_task19_matched_coverage.csv:matched gap (tol=exact),MATCHED
95%,"manuscript.md: .7%, a matched-coverage difference of 0.087 (95% CI, 0.042 to 0.149). *glm-5.3-flash* acted o",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
0.042,"manuscript.md: atched-coverage difference of 0.087 (95% CI, 0.042 to 0.149). *glm-5.3-flash* acted on 61.3% of",followup_task20_naturalistic.csv:parse failure (tol=exact),MATCHED
0.149,"manuscript.md: verage difference of 0.087 (95% CI, 0.042 to 0.149). *glm-5.3-flash* acted on 61.3% of episodes",calibration_transport.csv:brier (tol=display-rounding),MATCHED
5.3,"manuscript.md: ence of 0.087 (95% CI, 0.042 to 0.149). *glm-5.3-flash* acted on 61.3% of episodes with 16.4%",IGNORED: VERSION_SLUG,IGNORED
61.3%,"manuscript.md: I, 0.042 to 0.149). *glm-5.3-flash* acted on 61.3% of episodes with 16.4% unfaithful against th","episode_confidence_per_episode.csv:min (tol=display-rounding, as-fraction-of-percent)",MATCHED
16.4%,"manuscript.md: m-5.3-flash* acted on 61.3% of episodes with 16.4% unfaithful against the gate's 12.4%, a diffe","followup_task19_matched_coverage.csv:risk among acted (tol=display-rounding, as-fraction-of-percent)",MATCHED
12.4%,"manuscript.md: des with 16.4% unfaithful against the gate's 12.4%, a difference of 0.040 (95% CI, 0.017 to 0.0","followup_task19_matched_coverage.csv:gate risk at matched coverage (tol=exact, as-fraction-of-percent)",MATCHED
0.040,"manuscript.md: ul against the gate's 12.4%, a difference of 0.040 (95% CI, 0.017 to 0.063). The remaining eigh",followup_task13_confirmation.csv:parse failure (tol=exact),MATCHED
95%,"manuscript.md: nst the gate's 12.4%, a difference of 0.040 (95% CI, 0.017 to 0.063). The remaining eight com",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
0.017,"manuscript.md: gate's 12.4%, a difference of 0.040 (95% CI, 0.017 to 0.063). The remaining eight combinations",followup_semantic_fair_cells.csv:risk_upper95_one_sided (tol=display-rounding),MATCHED
0.063,"manuscript.md: .4%, a difference of 0.040 (95% CI, 0.017 to 0.063). The remaining eight combinations had inter",followup_task19_matched_coverage.csv:gap 95% CI high (tol=exact),MATCHED
3.7,"manuscript.md: hat included zero, the largest being *gemini-3.7-flash* at 0.006 (95% CI, 0.000 to 0.016). T",IGNORED: VERSION_SLUG,IGNORED
0.006,"manuscript.md: ero, the largest being *gemini-3.7-flash* at 0.006 (95% CI, 0.000 to 0.016). The confidence su",followup_task19_matched_coverage.csv:matched gap (tol=exact),MATCHED
95%,"manuscript.md: e largest being *gemini-3.7-flash* at 0.006 (95% CI, 0.000 to 0.016). The confidence supplie",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
0.000,"manuscript.md: t being *gemini-3.7-flash* at 0.006 (95% CI, 0.000 to 0.016). The confidence supplied to the a",cost_envelope.csv:cached_frac (tol=exact),MATCHED
0.016,"manuscript.md: gemini-3.7-flash* at 0.006 (95% CI, 0.000 to 0.016). The confidence supplied to the advisory a",primary_unsafe_execution.csv:unsafe_execution (tol=exact),MATCHED
5,manuscript.md: that responded to the signal: *claude-sonnet-5* from 0.540 to 0.646 coverage and 0.110 to 0,IGNORED: VERSION_SLUG,IGNORED
0.540,manuscript.md: ponded to the signal: *claude-sonnet-5* from 0.540 to 0.646 coverage and 0.110 to 0.144 unfaith,efigure2_recalibration_paired.csv:coverage (tol=exact),MATCHED
0.646,manuscript.md: the signal: *claude-sonnet-5* from 0.540 to 0.646 coverage and 0.110 to 0.144 unfaithful execu,efigure2_recalibration_paired.csv:coverage (tol=exact),MATCHED
0.110,"manuscript.md: e-sonnet-5* from 0.540 to 0.646 coverage and 0.110 to 0.144 unfaithful execution, *gemini-3.7-f",efigure2_recalibration_paired.csv:unfaithful_of_all (tol=exact),MATCHED
0.144,"manuscript.md: 5* from 0.540 to 0.646 coverage and 0.110 to 0.144 unfaithful execution, *gemini-3.7-flash* fro",efigure2_recalibration_paired.csv:unfaithful_of_all (tol=exact),MATCHED
3.7,"manuscript.md: 0.110 to 0.144 unfaithful execution, *gemini-3.7-flash* from 0.623 to 0.706 and 0.085 to 0.13",IGNORED: VERSION_SLUG,IGNORED
0.623,"manuscript.md: nfaithful execution, *gemini-3.7-flash* from 0.623 to 0.706 and 0.085 to 0.131, *glm-5.3-flash*",efigure2_recalibration_paired.csv:coverage (tol=display-rounding),MATCHED
0.706,"manuscript.md: execution, *gemini-3.7-flash* from 0.623 to 0.706 and 0.085 to 0.131, *glm-5.3-flash* from 0.6",episode_confidence_per_episode.csv:mean (tol=display-rounding),MATCHED
0.085,"manuscript.md: , *gemini-3.7-flash* from 0.623 to 0.706 and 0.085 to 0.131, *glm-5.3-flash* from 0.613 to 0.69",followup_task19_recalibration.csv:unfaithful of all (tol=display-rounding),MATCHED
0.131,"manuscript.md: -3.7-flash* from 0.623 to 0.706 and 0.085 to 0.131, *glm-5.3-flash* from 0.613 to 0.694 and 0.1",followup_task19_matched_coverage.csv:gate risk at matched coverage (tol=exact),MATCHED
5.3,"manuscript.md: from 0.623 to 0.706 and 0.085 to 0.131, *glm-5.3-flash* from 0.613 to 0.694 and 0.100 to 0.13",IGNORED: VERSION_SLUG,IGNORED
0.613,"manuscript.md: 706 and 0.085 to 0.131, *glm-5.3-flash* from 0.613 to 0.694 and 0.100 to 0.138. *deepseek-v4-fl",episode_confidence_per_episode.csv:min (tol=display-rounding),MATCHED
0.694,"manuscript.md: .085 to 0.131, *glm-5.3-flash* from 0.613 to 0.694 and 0.100 to 0.138. *deepseek-v4-flash* and",episode_confidence_per_episode.csv:product (tol=display-rounding),MATCHED
0.100,"manuscript.md: 131, *glm-5.3-flash* from 0.613 to 0.694 and 0.100 to 0.138. *deepseek-v4-flash* and *gpt-5.6-l",efigure2_recalibration_paired.csv:parse_failure (tol=exact),MATCHED
0.138,manuscript.md: -5.3-flash* from 0.613 to 0.694 and 0.100 to 0.138. *deepseek-v4-flash* and *gpt-5.6-luna* were,followup_task19_recalibration.csv:unfaithful of all (tol=exact),MATCHED
4,manuscript.md: .613 to 0.694 and 0.100 to 0.138. *deepseek-v4-flash* and *gpt-5.6-luna* were unchanged on,IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
5.6,manuscript.md: 0.100 to 0.138. *deepseek-v4-flash* and *gpt-5.6-luna* were unchanged on both. A better-calib,IGNORED: VERSION_SLUG,IGNORED
3,"manuscript.md: he severity-aware endpoint, an admitted tier 3 action the true string does not entail, occu",IGNORED: TIER_LABEL,IGNORED
"1,651","manuscript.md: the true string does not entail, occurred in 1,651 of 21,170 episode runs (0.078): 0.049 under",results_digest.json.unsafe_execution.n_unsafe (tol=exact),MATCHED
"21,170","manuscript.md: string does not entail, occurred in 1,651 of 21,170 episode runs (0.078): 0.049 under advisory c",followup_dataset_inventory.csv:episode runs (tol=exact),MATCHED
0.078,"manuscript.md: l, occurred in 1,651 of 21,170 episode runs (0.078): 0.049 under advisory control with decoder",results_digest.json.unsafe_execution.overall_rate (tol=display-rounding),MATCHED
0.049,"manuscript.md: red in 1,651 of 21,170 episode runs (0.078): 0.049 under advisory control with decoder confiden",power_curve.csv:ci_halfwidth (tol=display-rounding),MATCHED
0.084,"manuscript.md: advisory control with decoder confidence and 0.084 in each of the other three arms, tracking ov",repeated_attempt_replay.csv:p_unresolved_hi (tol=display-rounding),MATCHED
26.5%,"manuscript.md: he executed action fell in the intended tier 26.5% of the time, against the 33.3% expected unde","episode_confidence_per_episode.csv:product (tol=display-rounding, as-fraction-of-percent)",MATCHED
33.3%,"manuscript.md: intended tier 26.5% of the time, against the 33.3% expected under independence, since the froze","episode_confidence_per_episode.csv:product (tol=display-rounding, as-fraction-of-percent)",MATCHED
24.4%,"manuscript.md: actions to each tier; escalation occurred in 24.4% and de-escalation in 49.1%, the latter exces","stats_digest.json.tier_severity.escalated_unfaithful (tol=display-rounding, as-fraction-of-percent)",MATCHED
49.1%,"manuscript.md: ation occurred in 24.4% and de-escalation in 49.1%, the latter excess largely mechanical since","episode_confidence_per_episode.csv:product (tol=display-rounding, as-fraction-of-percent)",MATCHED
3,manuscript.md: anical since intended tiers skew toward tier 3. ### Apparent Agent Safety Was Selective No,IGNORED: TIER_LABEL,IGNORED
0.301,manuscript.md: confidence reduced unfaithful execution from 0.301 to 0.110 in *claude-sonnet-5* (-0.190; 95% C,followup_task19_matched_coverage.csv:risk among acted (tol=exact),MATCHED
0.110,"manuscript.md: e reduced unfaithful execution from 0.301 to 0.110 in *claude-sonnet-5* (-0.190; 95% CI, -0.258",efigure2_recalibration_paired.csv:unfaithful_of_all (tol=exact),MATCHED
5,"manuscript.md: cution from 0.301 to 0.110 in *claude-sonnet-5* (-0.190; 95% CI, -0.258 to -0.125; adjusted",IGNORED: VERSION_SLUG,IGNORED
-0.190,"manuscript.md: on from 0.301 to 0.110 in *claude-sonnet-5* (-0.190; 95% CI, -0.258 to -0.125; adjusted *P* < .0",primary_contrast.csv:risk_difference (tol=exact),MATCHED
95%,"manuscript.md: 0.301 to 0.110 in *claude-sonnet-5* (-0.190; 95% CI, -0.258 to -0.125; adjusted *P* < .001),",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
-0.258,"manuscript.md: 0.110 in *claude-sonnet-5* (-0.190; 95% CI, -0.258 to -0.125; adjusted *P* < .001), from 0.301",episode_confidence_per_episode.csv:logsum (tol=display-rounding),MATCHED
-0.125,"manuscript.md: *claude-sonnet-5* (-0.190; 95% CI, -0.258 to -0.125; adjusted *P* < .001), from 0.301 to 0.085 i",primary_contrast.csv:ci_high (tol=display-rounding),MATCHED
.001,"manuscript.md: 90; 95% CI, -0.258 to -0.125; adjusted *P* < .001), from 0.301 to 0.085 in *gemini-3.7-flash*",IGNORED: PVALUE_OR_THRESHOLD,IGNORED
0.301,"manuscript.md: -0.258 to -0.125; adjusted *P* < .001), from 0.301 to 0.085 in *gemini-3.7-flash* (-0.216; 95%",followup_task19_matched_coverage.csv:risk among acted (tol=exact),MATCHED
0.085,"manuscript.md: -0.125; adjusted *P* < .001), from 0.301 to 0.085 in *gemini-3.7-flash* (-0.216; 95% CI, -0.30",followup_task19_recalibration.csv:unfaithful of all (tol=display-rounding),MATCHED
3.7,"manuscript.md: *P* < .001), from 0.301 to 0.085 in *gemini-3.7-flash* (-0.216; 95% CI, -0.301 to -0.139; ad",IGNORED: VERSION_SLUG,IGNORED
-0.216,"manuscript.md: , from 0.301 to 0.085 in *gemini-3.7-flash* (-0.216; 95% CI, -0.301 to -0.139; adjusted *P* < .0",primary_contrast.csv:risk_difference (tol=display-rounding),MATCHED
95%,"manuscript.md: .301 to 0.085 in *gemini-3.7-flash* (-0.216; 95% CI, -0.301 to -0.139; adjusted *P* < .001),",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
-0.301,"manuscript.md: 0.085 in *gemini-3.7-flash* (-0.216; 95% CI, -0.301 to -0.139; adjusted *P* < .001), and from 0.",primary_contrast.csv:ci_low (tol=display-rounding),MATCHED
-0.139,"manuscript.md: gemini-3.7-flash* (-0.216; 95% CI, -0.301 to -0.139; adjusted *P* < .001), and from 0.299 to 0.1",primary_contrast.csv:ci_high (tol=display-rounding),MATCHED
.001,"manuscript.md: 16; 95% CI, -0.301 to -0.139; adjusted *P* < .001), and from 0.299 to 0.100 in *glm-5.3-flash*",IGNORED: PVALUE_OR_THRESHOLD,IGNORED
0.299,"manuscript.md: 01 to -0.139; adjusted *P* < .001), and from 0.299 to 0.100 in *glm-5.3-flash* (-0.198; 95% CI,",episode_confidence_per_episode.csv:product (tol=display-rounding),MATCHED
0.100,"manuscript.md: 139; adjusted *P* < .001), and from 0.299 to 0.100 in *glm-5.3-flash* (-0.198; 95% CI, -0.276 t",efigure2_recalibration_paired.csv:parse_failure (tol=exact),MATCHED
5.3,"manuscript.md: *P* < .001), and from 0.299 to 0.100 in *glm-5.3-flash* (-0.198; 95% CI, -0.276 to -0.129; ad",IGNORED: VERSION_SLUG,IGNORED
-0.198,"manuscript.md: and from 0.299 to 0.100 in *glm-5.3-flash* (-0.198; 95% CI, -0.276 to -0.129; adjusted *P* < .0",primary_contrast.csv:risk_difference (tol=display-rounding),MATCHED
95%,"manuscript.md: m 0.299 to 0.100 in *glm-5.3-flash* (-0.198; 95% CI, -0.276 to -0.129; adjusted *P* < .001).",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
-0.276,"manuscript.md: to 0.100 in *glm-5.3-flash* (-0.198; 95% CI, -0.276 to -0.129; adjusted *P* < .001). The differe",primary_contrast.csv:ci_low (tol=display-rounding),MATCHED
-0.129,"manuscript.md: n *glm-5.3-flash* (-0.198; 95% CI, -0.276 to -0.129; adjusted *P* < .001). The difference was -0",primary_contrast.csv:ci_high (tol=display-rounding),MATCHED
.001,"manuscript.md: 98; 95% CI, -0.276 to -0.129; adjusted *P* < .001). The difference was -0.001 for *deepseek-v4",IGNORED: PVALUE_OR_THRESHOLD,IGNORED
-0.001,"manuscript.md: 29; adjusted *P* < .001). The difference was -0.001 for *deepseek-v4-flash* (95% CI, -0.004 to 0",followup_task19_matched_coverage.csv:gap 95% CI low (tol=exact),MATCHED
4,"manuscript.md: 1). The difference was -0.001 for *deepseek-v4-flash* (95% CI, -0.004 to 0.002; adjusted *P",IGNORED: EMBEDDED_IN_IDENTIFIER,IGNORED
95%,"manuscript.md: fference was -0.001 for *deepseek-v4-flash* (95% CI, -0.004 to 0.002; adjusted *P* = .54) and",semantic_fair_resolver_curves.csv:n_covered (tol=exact),MATCHED
-0.004,"manuscript.md: was -0.001 for *deepseek-v4-flash* (95% CI, -0.004 to 0.002; adjusted *P* = .54) and -0.001 for",secondary_caution_tests.csv:ci_high (tol=exact),MATCHED
0.002,"manuscript.md: 1 for *deepseek-v4-flash* (95% CI, -0.004 to 0.002; adjusted *P* = .54) and -0.001 for *gpt-5.6",secondary_caution_battery.csv:parse_failure (tol=exact),MATCHED
.54,"manuscript.md: sh* (95% CI, -0.004 to 0.002; adjusted *P* = .54) and -0.001 for *gpt-5.6-luna* (95% CI, -0.0",efigure2_recalibration_paired.csv:coverage (tol=exact),MATCHED
